City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
369,Monforte De Lemos,ES,42.5216,-7.5142,62.69,72,35,8.37,scattered clouds
370,Wenling,CN,28.3669,121.36,43.68,83,100,5.37,overcast clouds
371,Tutoia,BR,-2.7619,-42.2744,93.18,65,100,9.44,overcast clouds
372,Byron Bay,AU,-28.65,153.6167,64.51,80,99,11.9,overcast clouds
373,Aquin,HT,18.2833,-73.4,82.11,60,50,2.73,scattered clouds
374,Narsaq,GL,60.9167,-46.05,14.83,55,1,6.4,clear sky
375,Oranjestad,AW,12.524,-70.027,84.9,68,20,5.99,few clouds
376,Kovur,IN,14.4833,79.9833,73.22,77,1,5.35,clear sky
377,Mar Del Plata,AR,-38.0023,-57.5575,86.02,86,0,11.99,clear sky
378,Ignacio Zaragoza,MX,28.3833,-107.2167,47.75,63,18,24.05,few clouds
379,Clarksburg,US,39.2807,-80.3445,51.91,74,87,3.56,overcast clouds
380,San Cristobal,VE,7.7669,-72.225,71.78,54,100,4.41,overcast clouds
381,Aklavik,CA,68.2191,-135.0107,-12.28,100,94,0.78,overcast clouds
382,Lafia,NG,8.4833,8.5167,95.5,12,88,7.31,overcast clouds
383,Alice,US,27.7523,-98.0697,76.57,78,75,17.27,broken clouds
384,Verkhneuralsk,RU,53.8769,59.2106,-2.0,98,6,4.03,clear sky
385,Plovdiv,BG,42.15,24.75,52.11,87,90,5.75,overcast clouds
386,Jarocin,PL,51.9727,17.5026,32.76,88,100,13.11,overcast clouds
387,Srednekolymsk,RU,67.45,153.6833,-41.66,100,100,3.13,overcast clouds
388,Funchal,PT,32.6333,-16.9,71.01,86,75,12.66,broken clouds
389,Padang,ID,-0.9492,100.3543,78.85,86,100,3.74,light rain
390,Buchanan,LR,5.8808,-10.0467,91.36,67,98,8.34,overcast clouds
391,Strezhevoy,RU,60.7333,77.5889,1.38,100,93,5.68,overcast clouds
392,Jiuquan,CN,39.7432,98.5174,13.28,72,5,4.29,clear sky
393,Katsuura,JP,35.1333,140.3,39.31,47,46,6.11,scattered clouds
394,Talaya,RU,61.3833,152.75,-19.93,93,100,10.47,overcast clouds
395,Mvomero,TZ,-6.25,38.6667,85.75,79,75,4.83,broken clouds
396,Luganville,VU,-15.5333,167.1667,80.11,85,98,1.52,overcast clouds
397,Yumen,CN,40.2833,97.2,16.66,47,0,9.19,clear sky
398,Maraa,BR,-1.8333,-65.3667,90.34,55,79,6.26,moderate rain
399,Brae,GB,60.3964,-1.353,44.51,87,80,12.73,broken clouds
400,Rio Gallegos,AR,-51.6226,-69.2181,62.65,27,75,6.91,broken clouds
401,Alihe,CN,50.5667,123.7167,-11.87,93,7,3.42,clear sky
